variant,theta_label,log_sigma_v2,log_sigma_w2,sigma_v2,sigma_w2,seed,loglik,grad_log_sigma_v2,grad_log_sigma_w2,grad_norm,finite_loglik,finite_grad,elapsed_s,error
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,300,-20000026.0,nan,nan,nan,1,0,3.0331599712371826,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,8219,-82.79117584228516,835190464.0,-511608160.0,979431478.2235258,1,1,0.9785819053649902,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,16138,-78.76727294921875,-25201213440.0,47434420224.0,53713363149.55019,1,1,0.9940512180328369,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,24057,-81.5473403930664,-43029143552.0,8239173120.0,43810856742.5924,1,1,1.0815649032592773,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,31976,-71.9774169921875,47090253824.0,-12538039296.0,48730836588.312195,1,1,1.0349490642547607,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,39895,-80.43760681152344,43165956440064.0,-11009218576384.0,44547757396395.4,1,1,1.156844139099121,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,47814,-86.07820129394531,4418779.5,24169688.0,24570295.68985616,1,1,1.0231907367706299,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,55733,-77.44268798828125,258728722432.0,-61725057024.0,265989726260.07748,1,1,1.0073959827423096,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,63652,-83.27225494384766,667636864.0,714306176.0,977738357.2528478,1,1,1.0746490955352783,
full,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,71571,-75.87092590332031,-13854194.0,-686578.375,13871196.100360403,1,1,1.0079529285430908,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,300,-10000054.0,nan,nan,nan,1,0,1.059086799621582,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,8219,-76.75177764892578,12456333.0,-681724.625,12474974.159140386,1,1,0.9899992942810059,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,16138,-74.9747314453125,19492858.0,-706804.9375,19505668.05387189,1,1,1.0599620342254639,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,24057,-76.45907592773438,12696749056.0,-1558270592.0,12792014846.337887,1,1,1.0133929252624512,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,31976,-71.45693969726562,-20354874.0,-41979392.0,46653941.40097426,1,1,1.019273042678833,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,39895,-84.40235900878906,31064338.0,-9703586.0,32544625.925606214,1,1,1.076706886291504,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,47814,-9000058.0,nan,nan,nan,1,0,0.9878249168395996,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,55733,-75.8795166015625,-125117.953125,8453.771484375,125403.22342946264,1,1,1.0940461158752441,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,63652,-83.41124725341797,19734598.0,7393077.0,21073963.69337133,1,1,1.0123591423034668,
full,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,71571,-79.10694122314453,175986.125,37329.06640625,179901.57139746682,1,1,1.0922391414642334,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,300,-75.76358795166016,-605360.9375,248113.671875,654234.100931902,1,1,1.0017139911651611,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,8219,-78.67141723632812,-1326.234130859375,276065.34375,276068.5293849618,1,1,1.115109920501709,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,16138,-129.9085235595703,38151.234375,-29196.78125,48041.32304273617,1,1,1.0008978843688965,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,24057,-134.56698608398438,-1328.4158935546875,86.3186264038086,1331.2173719993812,1,1,0.9978320598602295,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,31976,-74.83483123779297,130528768.0,-3262708.5,130569539.10600203,1,1,1.1706271171569824,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,39895,-85.0785140991211,-1955906191360.0,662779330560.0,2065150229503.3992,1,1,1.1856372356414795,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,47814,-83.41910552978516,746141.6875,-737457.8125,1049081.2375801185,1,1,1.0844740867614746,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,55733,-75.95244598388672,-438560896.0,-134997232.0,458868077.0635332,1,1,0.9943368434906006,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,63652,-80.77847290039062,-2841832.0,1599811.375,3261196.9507840816,1,1,0.9983649253845215,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,71571,-78.64127349853516,-458817.125,116487.1015625,473373.4245008879,1,1,1.0682568550109863,
stop_ot_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,300,-20000026.0,nan,nan,nan,1,0,0.9615058898925781,
stop_ot_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,8219,-82.79117584228516,-28997.333984375,18707.46484375,34508.18191504055,1,1,1.033095121383667,
stop_ot_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,16138,-78.76727294921875,-4495.9140625,-16846.265625,17435.879925184214,1,1,0.95855712890625,
stop_ot_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,24057,-81.5473403930664,-16194.494140625,-11060.791015625,19611.291093705895,1,1,0.9562380313873291,
stop_ot_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,31976,-71.9774169921875,44.872398376464844,-141.0169677734375,147.98417934384364,1,1,1.0201609134674072,
stop_ot_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,39895,-80.43760681152344,31900344.0,-8580058.0,33034063.368009996,1,1,0.9489688873291016,
stop_ot_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,47814,-86.07820129394531,-341.317138671875,15.156707763671875,341.6535012865949,1,1,1.0490319728851318,
stop_ot_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,55733,-77.44268798828125,25712.009765625,54504.83984375,60265.12268784021,1,1,0.9535441398620605,
stop_ot_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,63652,-83.27225494384766,-581.71923828125,2374.14599609375,2444.3744563700757,1,1,1.2113080024719238,
stop_ot_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,71571,-75.87092590332031,-11829.388671875,-4572.06298828125,12682.19997946318,1,1,1.1113131046295166,
stop_ot_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,300,-10000054.0,nan,nan,nan,1,0,0.964637041091919,
stop_ot_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,8219,-76.75177764892578,3885.383544921875,287.57171630859375,3896.0111374546077,1,1,1.0409908294677734,
stop_ot_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,16138,-74.9747314453125,271.7657470703125,-108.73820495605469,292.7125185190241,1,1,0.9522950649261475,
stop_ot_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,24057,-76.45907592773438,-353.7328186035156,-494.5601806640625,608.0433202130074,1,1,1.0189809799194336,
stop_ot_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,31976,-71.45693969726562,710.0068969726562,-13.249107360839844,710.1305039178357,1,1,0.9547140598297119,
stop_ot_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,39895,-84.40235900878906,-59432.53125,41533.5625,72506.98300662932,1,1,0.9367067813873291,
stop_ot_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,47814,-9000058.0,nan,nan,nan,1,0,0.9977607727050781,
stop_ot_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,55733,-75.8795166015625,288.46014404296875,-521.206298828125,595.70568290004,1,1,0.9439291954040527,
stop_ot_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,63652,-83.41124725341797,4460.8017578125,-159.96804809570312,4463.669129641515,1,1,1.0156519412994385,
stop_ot_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,71571,-79.10694122314453,-19.40796661376953,13.031930923461914,23.377347832358478,1,1,0.9454050064086914,
stop_ot_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,300,-75.76358795166016,-650.8787231445312,303.49462890625,718.1588278488247,1,1,0.9666621685028076,
stop_ot_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,8219,-78.67141723632812,-6172.951171875,-2441.140625,6638.109197759429,1,1,1.0156841278076172,
stop_ot_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,16138,-129.9085235595703,43.931236267089844,5.278265953063965,44.24718761035716,1,1,0.969933032989502,
stop_ot_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,24057,-134.56698608398438,38.69618606567383,9.399794578552246,39.82148859784412,1,1,1.0156900882720947,
stop_ot_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,31976,-74.83483123779297,-51017.7265625,-10975.607421875,52184.982340565526,1,1,0.9500911235809326,
stop_ot_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,39895,-85.0785140991211,208353.328125,-96866.328125,229769.87371103305,1,1,0.951387882232666,
stop_ot_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,47814,-83.41910552978516,2469.751953125,-2397.376708984375,3441.9601675129106,1,1,1.0245890617370605,
stop_ot_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,55733,-75.95244598388672,25563.8203125,7980.75341796875,26780.614893766116,1,1,0.9825139045715332,
stop_ot_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,63652,-80.77847290039062,238.18409729003906,45.1038818359375,242.41704634480845,1,1,1.0204429626464844,
stop_ot_grad,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,71571,-78.64127349853516,-450.6242980957031,-73.0892562866211,456.5131952296412,1,1,0.9457061290740967,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,300,-110.60728454589844,nan,nan,nan,1,0,0.9354293346405029,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,8219,-121.4363784790039,-287623072.0,210941056.0,356683558.1479925,1,1,1.0035288333892822,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,16138,-98.04084014892578,nan,nan,nan,1,0,0.9094538688659668,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,24057,-115.24079132080078,nan,nan,nan,1,0,0.998431921005249,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,31976,-94.18714904785156,nan,nan,nan,1,0,0.9327771663665771,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,39895,-116.82662963867188,nan,nan,nan,1,0,0.9296369552612305,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,47814,-95.0931167602539,nan,nan,nan,1,0,0.9692630767822266,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,55733,-92.75354766845703,nan,nan,nan,1,0,0.918956995010376,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,63652,-93.95177459716797,nan,nan,nan,1,0,0.9392220973968506,
no_ot,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,71571,-97.26604461669922,1321768.125,-733109.75,1511463.159263592,1,1,1.0028927326202393,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,300,-84.66439056396484,nan,nan,nan,1,0,0.9385910034179688,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,8219,-113.24103546142578,nan,nan,nan,1,0,1.0051870346069336,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,16138,-96.37262725830078,nan,nan,nan,1,0,0.9393899440765381,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,24057,-90.86796569824219,nan,nan,nan,1,0,0.9388442039489746,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,31976,-92.3302230834961,nan,nan,nan,1,0,1.0098340511322021,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,39895,-123.51118469238281,-3794.23779296875,1308.5859375,4013.556725077537,1,1,0.9416136741638184,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,47814,-99.79368591308594,48.81182098388672,3.3821232318878174,48.92885268753682,1,1,0.913783073425293,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,55733,-80.44058990478516,13.537651062011719,4.234373092651367,14.184424971233657,1,1,0.9921979904174805,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,63652,-99.57197570800781,nan,nan,nan,1,0,0.966076135635376,
no_ot,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,71571,-102.0739517211914,-208.9678497314453,244.3485107421875,321.51789518362557,1,1,0.9070432186126709,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,300,-95.99784851074219,nan,nan,nan,1,0,1.0804290771484375,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,8219,-88.68025970458984,nan,nan,nan,1,0,0.9282717704772949,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,16138,-92.05746459960938,nan,nan,nan,1,0,0.9846770763397217,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,24057,-115.85452270507812,nan,nan,nan,1,0,0.9116806983947754,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,31976,-94.08757019042969,nan,nan,nan,1,0,0.9139318466186523,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,39895,-85.99797821044922,nan,nan,nan,1,0,0.977215051651001,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,47814,-93.09688568115234,nan,nan,nan,1,0,0.913344144821167,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,55733,-91.13545227050781,nan,nan,nan,1,0,0.9468231201171875,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,63652,-89.88502502441406,nan,nan,nan,1,0,1.0741212368011475,
no_ot,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,71571,-102.67749786376953,nan,nan,nan,1,0,1.005375862121582,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,300,-20000026.0,nan,nan,nan,1,0,1.0074050426483154,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,8219,-82.79117584228516,738652224.0,-472323584.0,876753486.4617028,1,1,0.9135420322418213,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,16138,-78.76727294921875,-13996146688.0,5521937920.0,15046059966.128916,1,1,0.9267661571502686,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,24057,-81.5473403930664,-34805530624.0,7013947904.0,35505216901.43897,1,1,1.0085442066192627,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,31976,-71.9774169921875,187731279872.0,-57861054464.0,196445756039.84213,1,1,0.9388127326965332,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,39895,-80.43760681152344,-133195727110144.0,35639504404480.0,137881383785473.0,1,1,0.9910049438476562,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,47814,-86.07820129394531,-10465866.0,-22523314.0,24836143.51449419,1,1,0.9075708389282227,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,55733,-77.44268798828125,29889626112.0,4886650880.0,30286450864.01107,1,1,0.9317338466644287,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,63652,-83.27225494384766,-583170176.0,-375600032.0,693659021.5763593,1,1,0.9931352138519287,
stop_logdet_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,71571,-75.87092590332031,22118000.0,422235.5625,22122029.8994066,1,1,1.0645461082458496,
stop_logdet_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,300,-10000054.0,nan,nan,nan,1,0,1.0208399295806885,
stop_logdet_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,8219,-76.75177764892578,-23252056.0,2584992.25,23395304.938378043,1,1,0.9916207790374756,
stop_logdet_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,16138,-74.9747314453125,15242408.0,-668351.9375,15257053.97351743,1,1,0.9212138652801514,
stop_logdet_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,24057,-76.45907592773438,27391180800.0,-1039240192.0,27410888453.221592,1,1,1.009742021560669,
stop_logdet_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,31976,-71.45693969726562,434181344.0,-102249296.0,446058693.45876664,1,1,0.9171998500823975,
stop_logdet_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,39895,-84.40235900878906,-44558061568.0,18959591424.0,48424032852.11479,1,1,0.9254209995269775,
stop_logdet_grad,"sv2=8,sw2=1.5",2.079441547393799,0.40546509623527527,8.0,1.5,47814,-9000058.0,nan,nan,nan,1,0,0.9630746841430664,
